ID,Sobreviveu,Classe,Sexo,Qntd. Parentes,Qntd. Filhos/Pais
892,Não,Terceira,Homem,0,0
893,Sim,Terceira,Homem,1,0
894,Não,Segunda,Homem,0,0
895,Não,Terceira,Homem,0,0
896,Sim,Terceira,Homem,1,1
897,Não,Terceira,Homem,0,0
898,Sim,Terceira,Homem,0,0
899,Não,Segunda,Homem,1,1
900,Sim,Terceira,Homem,0,0
901,Não,Terceira,Homem,2,0
902,Não,Terceira,Homem,0,0
903,Não,Primeira,Homem,0,0
904,Sim,Primeira,Homem,1,0
905,Não,Segunda,Homem,1,0
906,Sim,Primeira,Homem,1,0
907,Sim,Segunda,Homem,1,0
908,Não,Segunda,Homem,0,0
909,Não,Terceira,Homem,0,0
910,Sim,Terceira,Homem,1,0
911,Sim,Terceira,Homem,0,0
912,Não,Primeira,Homem,1,0
913,Não,Terceira,Homem,0,1
914,Sim,Primeira,Homem,0,0
915,Não,Primeira,Homem,0,1
916,Sim,Primeira,Homem,1,3
917,Não,Terceira,Homem,1,0
918,Sim,Primeira,Homem,0,1
919,Não,Terceira,Homem,0,0
920,Não,Primeira,Homem,0,0
921,Não,Terceira,Homem,2,0
922,Não,Segunda,Homem,1,0
923,Não,Segunda,Homem,2,0
924,Não,Terceira,Homem,1,2
925,Não,Terceira,Homem,1,2
926,Não,Primeira,Homem,1,0
927,Não,Terceira,Homem,0,0
928,Sim,Terceira,Homem,0,0
929,Sim,Terceira,Homem,0,0
930,Não,Terceira,Homem,0,0
931,Não,Terceira,Homem,0,0
932,Não,Terceira,Homem,0,1
933,Não,Primeira,Homem,0,0
934,Não,Terceira,Homem,0,0
935,Sim,Segunda,Homem,0,0
936,Sim,Primeira,Homem,1,0
937,Não,Terceira,Homem,0,0
938,Não,Primeira,Homem,0,0
939,Não,Terceira,Homem,0,0
940,Sim,Primeira,Homem,0,0
941,Sim,Terceira,Homem,0,2
942,Não,Primeira,Homem,1,0
943,Não,Segunda,Homem,0,0
944,Sim,Segunda,Homem,2,1
945,Sim,Primeira,Homem,3,2
946,Não,Segunda,Homem,0,0
947,Não,Terceira,Homem,4,1
948,Não,Terceira,Homem,0,0
949,Não,Terceira,Homem,0,0
950,Não,Terceira,Homem,1,0
951,Sim,Primeira,Homem,0,0
952,Não,Terceira,Homem,0,0
953,Não,Segunda,Homem,0,0
954,Não,Terceira,Homem,0,0
955,Sim,Terceira,Homem,0,0
956,Sim,Primeira,Homem,2,2
957,Sim,Segunda,Homem,0,0
958,Sim,Terceira,Homem,0,0
959,Não,Primeira,Homem,0,0
960,Não,Primeira,Homem,0,0
961,Sim,Primeira,Homem,1,4
962,Sim,Terceira,Homem,0,0
963,Não,Terceira,Homem,0,0
964,Sim,Terceira,Homem,0,0
965,Não,Primeira,Homem,0,0
966,Sim,Primeira,Homem,0,0
967,Não,Primeira,Homem,0,0
968,Não,Terceira,Homem,0,0
969,Sim,Primeira,Homem,2,0
970,Não,Segunda,Homem,0,0
971,Sim,Terceira,Homem,0,0
972,Não,Terceira,Homem,1,1
973,Não,Primeira,Homem,1,0
974,Não,Primeira,Homem,0,0
975,Não,Terceira,Homem,0,0
976,Não,Segunda,Homem,0,0
977,Não,Terceira,Homem,1,0
978,Sim,Terceira,Homem,0,0
979,Sim,Terceira,Homem,0,0
980,Sim,Terceira,Homem,0,0
981,Não,Segunda,Homem,1,1
982,Sim,Terceira,Homem,1,0
983,Não,Terceira,Homem,0,0
984,Sim,Primeira,Homem,1,2
985,Não,Terceira,Homem,0,0
986,Não,Primeira,Homem,0,0
987,Não,Terceira,Homem,0,0
988,Sim,Primeira,Homem,1,0
989,Não,Terceira,Homem,0,0
990,Sim,Terceira,Homem,0,0
991,Não,Terceira,Homem,0,0
992,Sim,Primeira,Homem,1,0
993,Não,Segunda,Homem,1,0
994,Não,Terceira,Homem,0,0
995,Não,Terceira,Homem,0,0
996,Sim,Terceira,Homem,1,1
997,Não,Terceira,Homem,0,0
998,Não,Terceira,Homem,0,0
999,Não,Terceira,Homem,0,0
1000,Não,Terceira,Homem,0,0
1001,Não,Segunda,Homem,0,0
1002,Não,Segunda,Homem,0,0
1003,Sim,Terceira,Homem,0,0
1004,Sim,Primeira,Homem,0,0
1005,Sim,Terceira,Homem,0,0
1006,Sim,Primeira,Homem,1,0
1007,Não,Terceira,Homem,1,0
1008,Não,Terceira,Homem,0,0
1009,Sim,Terceira,Homem,1,1
1010,Não,Primeira,Homem,0,0
1011,Sim,Segunda,Homem,1,0
1012,Sim,Segunda,Homem,0,0
1013,Não,Terceira,Homem,1,0
1014,Sim,Primeira,Homem,1,0
1015,Não,Terceira,Homem,0,0
1016,Não,Terceira,Homem,0,0
1017,Sim,Terceira,Homem,0,1
1018,Não,Terceira,Homem,0,0
1019,Sim,Terceira,Homem,2,0
1020,Não,Segunda,Homem,0,0
1021,Não,Terceira,Homem,0,0
1022,Não,Terceira,Homem,0,0
1023,Não,Primeira,Homem,0,0
1024,Não,Terceira,Homem,0,4
1025,Não,Terceira,Homem,1,0
1026,Não,Terceira,Homem,0,0
1027,Não,Terceira,Homem,0,0
1028,Não,Terceira,Homem,0,0
1029,Não,Segunda,Homem,0,0
1030,Sim,Terceira,Homem,0,0
1031,Não,Terceira,Homem,1,6
1032,Não,Terceira,Homem,5,2
1033,Sim,Primeira,Homem,0,0
1034,Sim,Primeira,Homem,1,3
1035,Não,Segunda,Homem,0,0
1036,Não,Primeira,Homem,0,0
1037,Não,Terceira,Homem,3,0
1038,Não,Primeira,Homem,0,0
1039,Não,Terceira,Homem,0,0
1040,Não,Primeira,Homem,0,0
1041,Não,Segunda,Homem,1,1
1042,Sim,Primeira,Homem,0,1
1043,Não,Terceira,Homem,0,0
1044,Não,Terceira,Homem,0,0
1045,Sim,Terceira,Homem,0,2
1046,Não,Terceira,Homem,4,2
1047,Não,Terceira,Homem,0,0
1048,Sim,Primeira,Homem,0,0
